"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"3232","Kazakhstan",2012,21,13,1,98,21,5,3,7
"3241","Kenya",1983,5,20,1,0.899999976158142,5,4,2,NA
"3245","Kenya",1987,9,24,1,0.899999976158142,9,4,2,NA
"3250","Kenya",1992,14,29,1,0.899999976158142,14,4,2,NA
"3255","Kenya",1997,19,34,1,0.899999976158142,5,7,7,NA
"3260","Kenya",2002,24,39,1,0.899999976158142,10,7,7,NA
"3265","Kenya",2007,5,5,1,1,15,7,7,NA
"3271","Kyrgyzstan",1975,NA,NA,NA,NA,NA,NA,NA,NA
"3272","Kyrgyzstan",1976,NA,NA,NA,NA,NA,NA,NA,NA
"3273","Kyrgyzstan",1977,NA,NA,NA,NA,NA,NA,NA,NA
"3274","Kyrgyzstan",1978,NA,NA,NA,NA,NA,NA,NA,NA
"3275","Kyrgyzstan",1979,NA,NA,NA,NA,NA,NA,NA,NA
"3276","Kyrgyzstan",1980,NA,NA,NA,NA,NA,NA,NA,NA
"3277","Kyrgyzstan",1981,NA,NA,NA,NA,NA,NA,NA,NA
"3278","Kyrgyzstan",1982,NA,NA,NA,NA,NA,NA,NA,NA
"3279","Kyrgyzstan",1983,NA,NA,NA,NA,NA,NA,NA,NA
"3280","Kyrgyzstan",1984,NA,NA,NA,NA,NA,NA,NA,NA
"3281","Kyrgyzstan",1985,NA,NA,NA,NA,NA,NA,NA,NA
"3282","Kyrgyzstan",1986,NA,NA,NA,NA,NA,NA,NA,NA
"3283","Kyrgyzstan",1987,NA,NA,NA,NA,NA,NA,NA,NA
"3284","Kyrgyzstan",1988,NA,NA,NA,NA,NA,NA,NA,NA
"3285","Kyrgyzstan",1989,NA,NA,NA,NA,NA,NA,NA,NA
"3286","Kyrgyzstan",1990,NA,NA,NA,NA,NA,NA,NA,NA
"3287","Kyrgyzstan",1991,NA,NA,NA,NA,NA,NA,NA,NA
"3291","Kyrgyzstan",1995,5,5,1,NA,5,3.5,5,NA
"3296","Kyrgyzstan",2000,10,10,1,0.800000011920929,10,6.5,7,NA
"3301","Kyrgyzstan",2005,15,15,1,0.800000011920929,5,7,7,5
"3303","Kyrgyzstan",2007,2,NA,1,1,2,7,6,5
"3310","Cambodia",1976,1,1,1,NA,1,1,2,NA
"3315","Cambodia",1981,3,2,1,NA,3,1,2,NA
"3327","Cambodia",1993,15,2,1,5.80000019073486,15,4,2,NA
"3332","Cambodia",1998,5,NA,1,5.80000019073486,5,6,6,NA
"3337","Cambodia",2003,10,3,1,5.80000019073486,10,6,6,NA
"3342","Cambodia",2008,15,8,1,5.84999990463257,15,6,6,0
"3353","ROK",1981,1,NA,1,NA,1,2,2,NA
"3357","ROK",1985,5,4,1,NA,5,7,6,5
"3360","ROK",1988,1,7,1,8.60000038146973,1,7,7,5
"3364","ROK",1992,5,2,1,8.60000038146973,5,7,7,5
"3368","ROK",1996,4,6,1,8.60000038146973,9,7,7,5
"3372","ROK",2000,3,2,1,8.60000038146973,13,7,7,5
"3376","ROK",2004,2,6,1,8.60000038146973,17,7,7,5
"3380","ROK",2008,1,1,1,1.20000004768372,21,7,7,3
"3384","ROK",2012,5,5,1,1.20000004768372,25,7,7,3
"3385","Kuwait",1975,10,NA,1,2,10,3.5,2,NA
"3391","Kuwait",1981,4,NA,1,NA,4,1,2,NA
"3402","Kuwait",1992,15,NA,1,NA,15,1,2,NA
